mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,mfcc_20,mfcc_21,mfcc_22,mfcc_23,mfcc_24,mfcc_25,mfcc_26,mfcc_27,mfcc_28,mfcc_29,mfcc_30,mfcc_31,mfcc_32,mfcc_33,mfcc_34,mfcc_35,mfcc_36,mfcc_37,mfcc_38,mfcc_39,mfcc_40,emotion,actor_id,file
-527.461,108.49837,6.2078576,18.688086,4.2224355,8.152343,-10.305053,-9.359104,-15.881861,-10.6560135,0.88583785,0.37870198,-0.25792846,-8.947025,0.9262745,-2.8864458,-9.891372,-5.2809052,-3.8147168,-1.6364392,-14.329653,-0.5157929,-2.5070996,-8.814754,-4.4602065,0.16137744,-10.287972,1.8875574,-8.159902,-0.6319354,-7.4456496,-3.7969737,-4.786333,-5.2373776,-8.162068,-0.7703628,-3.4673789,-6.2425184,-8.457473,-5.0616107,calm,01,03-01-02-02-02-01-01.wav
-506.67426,109.67476,-1.2771487,26.903315,6.81771,4.969771,-9.661441,-13.598668,-17.34249,-9.7627,4.0301843,-1.8190169,1.0565612,-10.084556,-1.3519281,-1.5480741,-10.621599,-5.650924,-1.9841225,-1.7218909,-14.737363,-2.7717767,-2.3267157,-8.310954,-3.0236194,-1.9494833,-8.919026,0.49636808,-6.06889,-2.3623757,-8.0800495,-5.126972,-6.781554,-5.1352606,-8.625402,-1.3878676,-4.0322385,-7.275908,-8.848473,-6.9654946,calm,01,03-01-02-02-02-02-01.wav
-434.06412,123.62624,-12.899037,25.5332,3.8508475,-9.731235,-12.680839,-13.417366,-25.771008,-9.187785,-6.099634,-15.843839,1.2830734,-11.970827,-7.2952003,3.327418,-19.003828,-6.558769,-5.7670097,-6.716951,-13.61379,-0.095194034,-6.734781,-9.987801,-5.711575,-4.7881737,-12.171126,0.10378271,-8.981227,-1.9945679,-5.8663254,-5.562427,-5.3473244,-7.7793155,-8.619499,-4.9528055,-6.166461,-2.556537,-4.526325,-1.0683,happy,01,03-01-03-01-01-01-01.wav
-460.50876,120.59037,-17.228426,26.474745,9.47463,-6.040639,-15.547121,-11.084901,-28.8018,-4.270088,-1.665665,-14.678971,5.349377,-10.255905,-6.845854,4.1560783,-17.445465,-6.885531,-0.45898443,-4.511546,-13.463232,-0.8116739,-8.043667,-12.047854,-2.1324131,-3.2665443,-8.109277,-1.9208636,-8.249983,-3.1356342,-3.7836146,-7.436903,-3.7525826,-5.9772143,-6.211948,-3.5508304,-2.605866,-4.369954,-4.688978,-2.0842917,happy,01,03-01-03-01-01-02-01.wav
-451.08545,123.47197,-3.4182332,27.179432,-1.9641423,-5.2616587,-12.695423,-13.785055,-29.686495,-12.529333,2.4256883,-14.562832,3.2737005,-11.199731,-3.9763856,1.5119535,-16.288246,-5.12749,-2.6221485,-8.112084,-11.448955,-4.174713,-6.6890707,-9.067101,-6.016586,-0.6424022,-12.240341,1.2363787,-7.27011,-1.8946509,-5.2242002,-5.0139856,-5.546852,-6.920384,-7.8676043,-4.643858,-4.4286137,-3.2281396,-7.8321943,-4.489896,happy,01,03-01-03-01-02-01-01.wav
-445.37372,105.76088,-6.3105426,30.29395,-1.3491646,-3.6953568,-8.793813,-13.771107,-29.140741,-11.838752,-1.6187155,-11.04331,3.259379,-11.332432,-4.109397,0.012878418,-17.917076,-5.34798,-4.073795,-7.001995,-12.421674,-3.032304,-6.2167897,-9.020183,-6.741185,-0.21958445,-14.025513,0.10819459,-9.160932,-2.155093,-6.4077044,-4.5172915,-6.1401634,-6.3747883,-7.8362236,-3.6230867,-5.0247,-5.3546023,-9.368229,-3.5656934,happy,01,03-01-03-01-02-02-01.wav
-385.3472,98.61836,-17.843323,8.539374,-7.9827824,-7.2325897,-28.061178,-18.844467,-22.742556,-20.839645,-4.0623393,-14.332775,-4.9210076,-10.048222,-14.143798,-2.5046003,-19.062548,-7.9717474,-6.9885015,-11.552831,-11.729748,-6.0599136,-9.660181,-10.740426,-7.259482,-3.9510243,-4.1510043,6.542026,2.912094,2.5927956,-4.636984,-2.5544732,-2.0940273,4.716881,4.1385703,12.492461,5.9853096,2.4336205,-2.0572484,-0.84316707,happy,01,03-01-03-02-01-01-01.wav
-377.05484,103.58891,-26.820845,9.119331,-2.824392,-10.469889,-25.247778,-14.868796,-33.150387,-22.219585,0.5569239,-19.301636,-4.2753816,-7.6862593,-17.762733,-1.699375,-17.692753,-13.987654,-6.065344,-12.39809,-14.397696,-8.119514,-8.387153,-11.123373,-5.7413454,0.88451064,-10.629941,0.3354487,-3.2288017,-6.4235115,-3.036734,3.0144277,2.1022315,5.05603,0.6003571,9.188105,8.774054,12.015068,4.944455,1.5711749,happy,01,03-01-03-02-01-02-01.wav
-343.72998,84.959236,-18.758696,12.49168,-5.142589,-9.008867,-21.767206,-14.696766,-35.730453,-12.6884365,-1.9916273,-18.713577,-0.46576995,-9.21485,-16.015574,1.5694997,-20.32052,-8.043732,-4.908334,-10.053752,-14.388721,-5.2795067,-10.0589695,-11.295509,-9.184533,-6.9076076,-13.213926,-5.0760903,-9.73343,-3.830647,-1.042898,-0.44730052,4.4263372,3.0654268,2.4046795,3.61368,5.4589467,4.8527074,3.087342,5.1761146,happy,01,03-01-03-02-02-01-01.wav
-351.04266,87.78546,-18.9764,7.2525125,-6.3781247,-9.836133,-20.189646,-18.025383,-33.647007,-16.1339,-4.9503756,-14.1219425,-1.6928604,-6.445893,-17.177095,-0.5038819,-17.121012,-11.96314,-4.780672,-6.2946587,-15.6274,-4.838583,-8.630685,-13.050722,-8.363133,-3.6651785,-12.560326,-3.8317094,-8.580331,-6.0212903,-6.115928,-3.8992789,-4.6444325,4.170307,0.29064083,6.8926077,3.3846424,4.0933514,2.0861354,5.907022,happy,01,03-01-03-02-02-02-01.wav
-513.22363,119.26658,-7.5787435,25.535244,12.741133,-5.9138365,-4.9522142,-16.334793,-22.129642,-7.761534,-8.217227,-4.16841,-0.846978,-13.464638,-4.196153,-1.9130392,-10.675422,-9.545648,-6.859705,-1.6811905,-14.772843,-4.534768,-5.0895414,-10.785108,-4.653875,-3.986924,-9.54638,-2.71323,-4.9561863,-4.070436,-4.721391,-4.2507167,-4.727113,-4.748357,-8.832034,-5.454651,-4.6901784,-4.6474223,-7.3847446,-5.976709,sad,01,03-01-04-01-01-01-01.wav
-501.78848,126.87224,-9.400286,30.942467,12.597974,-6.4786043,-2.2604015,-15.308631,-21.688723,-11.993453,-4.4184494,-4.2044344,-2.1380112,-9.333297,-2.9686174,-0.8603132,-9.985767,-6.997813,-3.9502385,-0.23288688,-16.917673,-3.7345524,-3.4371743,-9.964054,-3.6779585,-3.4381428,-9.143508,-3.9373693,-7.131484,-2.2137504,-3.6856384,-3.9680998,-4.1442304,-2.2682066,-8.284241,-0.86937535,-4.3538823,-5.071193,-6.963878,-6.0431294,sad,01,03-01-04-01-01-02-01.wav
-514.5408,128.17809,-9.591345,31.663254,11.998968,-6.7848916,-4.835098,-17.938278,-25.729574,-10.2538805,-3.0986946,-3.5138638,-2.232655,-7.438609,-6.721348,0.5606516,-11.579872,-14.227845,-0.40962338,-1.5245801,-15.681743,-4.9357386,-5.8834977,-10.438846,-3.605537,-1.8628572,-7.355434,-0.35574323,-8.024268,0.056048978,-5.9565854,-7.2342873,-4.1715765,-3.6209667,-7.5463767,-2.3332021,-2.5796313,-5.1527925,-9.588177,-6.5306225,sad,01,03-01-04-01-02-01-01.wav
-495.29623,119.7042,-4.5607443,36.16182,10.268322,-5.2342935,1.0829027,-16.640844,-27.43601,-11.412782,-8.205739,-6.786911,0.09381168,-9.380112,-6.8980384,3.8142912,-8.871248,-9.481661,-2.324926,0.2505402,-16.614452,-4.937927,-4.6813636,-8.499083,-3.805699,-2.0998545,-10.40467,-5.476844,-5.9117093,-0.67418253,-4.555123,-3.6369202,-4.8336987,-5.25902,-8.973465,-3.4370732,-4.6052938,-3.7230427,-6.170325,-5.968576,sad,01,03-01-04-01-02-02-01.wav
-493.83105,121.823265,-3.082817,29.577917,11.112503,-8.287097,-5.6496706,-18.568552,-22.626612,-5.733133,-7.87163,-8.016795,-1.9479805,-12.775463,-5.6416416,0.24069904,-12.131545,-8.01086,-6.8297997,-2.0931423,-12.688449,-3.7936754,-6.2454896,-11.266052,-5.0152164,-2.9502997,-8.556194,-0.06764439,-4.997857,-1.8048726,-6.7794285,-2.950423,-7.3167205,-4.444508,-8.61187,-3.5366497,-4.827277,-6.428127,-6.2813034,-7.005567,sad,01,03-01-04-02-01-01-01.wav
-433.6783,111.22429,-10.61206,22.023254,7.136577,-8.528302,-17.89343,-14.642555,-33.558445,-9.266057,-4.8943024,-15.456159,1.1500509,-11.7927,-12.577057,2.9296865,-20.871521,-8.383894,-1.8178078,-6.2647405,-14.453928,-4.7549706,-14.970928,-8.287057,-9.119018,-3.5954833,-10.555615,-5.4225655,-5.9049997,-3.4665933,-6.569306,-6.082747,-7.1683493,-3.8939233,-7.4380307,1.5215448,-0.9345186,-4.256621,-7.3872743,-3.961624,sad,01,03-01-04-02-01-02-01.wav
-429.27875,108.37127,-15.979887,27.876743,6.0103326,-9.279928,-14.615537,-17.767775,-39.00808,-10.988417,-5.169176,-14.897634,1.2328062,-11.879471,-8.860452,2.7409823,-14.645377,-9.862239,-5.5697894,-5.237656,-15.9720545,-7.6429634,-4.8882155,-12.079511,-9.921832,-2.1156754,-14.17176,-2.8439965,-7.9026947,-4.16836,-7.293666,-5.030686,-7.424094,-5.5690002,-8.340878,-4.935002,-1.6391826,-1.2379627,-0.84123015,0.10936285,sad,01,03-01-04-02-02-01-01.wav
-397.3705,98.671364,-11.736289,24.35734,1.9593477,-9.5485525,-15.94986,-18.80143,-34.45545,-9.190782,-4.434998,-13.253261,1.4024299,-12.994416,-8.666584,2.6643996,-17.174568,-9.340851,-5.662213,-6.4592347,-15.221366,-4.453131,-5.8911157,-11.832739,-6.7488966,-2.2905579,-12.125234,0.49959326,-9.900183,-1.8646306,-6.9638267,-4.778471,-7.8463044,-6.099087,-7.3539414,-3.343737,-2.923498,-4.8834424,-6.241369,-4.092573,sad,01,03-01-04-02-02-02-01.wav
-356.7029,82.89585,-8.331769,23.992935,-6.074459,-7.6588697,-8.429735,0.4574056,-25.41627,-11.402713,-2.7873557,-9.568277,-0.8988535,-10.206597,-7.190513,-2.5921407,-12.961754,-3.8861108,-7.826607,-6.860936,-9.892419,-4.4282713,-8.273424,-7.571586,-6.3211937,-3.0221164,-10.637564,2.9256637,-4.16143,-1.7492329,0.21293391,-0.16233742,-3.5029325,-3.3270535,-4.6804867,-0.08450882,-2.7007573,0.11174468,-7.484211,-2.4926636,angry,01,03-01-05-01-01-01-01.wav
-342.11487,73.236855,-8.065656,17.674734,-11.154684,-8.159592,-12.428367,-13.055396,-24.419973,-14.207366,-9.540788,-11.776574,-4.8709965,-11.013629,-8.395562,-5.5513635,-17.659748,-3.9375498,-10.893968,-8.505445,-8.443336,-4.6032877,-3.9696236,-2.8905284,-3.3987427,-0.6381108,-6.4813366,-0.048227973,-5.6995196,-4.089526,-2.6561878,-3.8957474,-4.0846753,-3.3188574,-4.4101243,3.1531816,0.08949801,5.530378,-0.5554245,2.4701114,angry,01,03-01-05-01-01-02-01.wav
-372.21655,90.64702,-3.5254488,25.45984,-5.224171,-7.614258,-12.040869,-12.165112,-30.147635,-11.980462,-9.691185,-9.653843,-2.419414,-12.970105,-5.6025357,-0.6529522,-18.491611,-5.8502584,-4.1098647,-10.17729,-13.171765,-4.2531276,-8.031489,-10.505757,-6.9593916,-4.6288414,-11.723011,-2.301194,-6.117196,-3.883323,-1.4517474,-2.3571346,-2.1018045,-1.9236648,-4.767204,0.7317404,-2.2791677,-1.0220435,-4.743298,-0.23686248,angry,01,03-01-05-01-02-01-01.wav
-341.06815,80.92845,-7.0551066,17.697145,-4.409892,-11.022975,-8.343137,-11.701834,-32.188732,-13.512318,-7.242564,-12.0794735,-0.44167215,-12.033048,-10.343435,1.7180058,-20.358477,-3.6681964,-3.7072165,-11.016134,-13.193324,-1.0170076,-10.111978,-8.410054,-6.8998785,-5.7722454,-12.301392,-3.8230495,-7.0334554,-2.3345387,-0.9609529,-2.3331106,0.00018310547,-3.417144,-5.310893,1.8062443,-3.1639938,1.883075,-2.98697,-1.7230146,angry,01,03-01-05-01-02-02-01.wav
-173.18271,43.84265,-37.403355,-2.368331,-26.517874,-13.324247,-22.839396,-19.711147,-23.257942,-16.80237,-13.622465,-8.816979,-13.412743,-12.262315,-10.946968,-4.298586,-13.668184,5.7976727,4.119702,7.8295712,7.11601,9.36612,8.812316,1.5719208,0.27706644,0.7245591,-5.1559315,3.4327605,3.3284752,-2.2864256,-1.9282894,-2.373824,2.2023728,2.0390751,-4.7073517,2.4320304,2.4371703,2.5613055,-4.226397,-0.4749747,angry,01,03-01-05-02-01-01-01.wav
-232.63858,52.58671,-24.686073,4.359242,-17.346285,-14.418435,-15.524961,-6.25789,-26.541515,-15.939799,-11.410083,-15.505787,-8.115228,-8.868104,-12.373354,-7.495269,-23.648594,-11.490634,-10.602384,-13.32958,-10.942372,-3.3575816,-2.3431299,5.247175,12.452111,10.386396,2.1578972,6.320718,-2.5776837,2.472921,7.182672,4.599248,0.09499427,-0.34686112,-3.8182473,3.4847736,1.8488841,1.2709349,-4.653915,-1.1612006,angry,01,03-01-05-02-01-02-01.wav
-227.30022,42.292656,-19.93731,7.596096,-17.18876,-13.754775,-14.009095,-5.7259154,-26.33138,-12.846596,-6.609784,-11.60098,-4.251821,-8.1564045,-13.369257,-3.4129376,-18.39162,-2.8763444,-6.7719665,-6.7071276,-4.4266253,-0.16921544,-3.0624762,0.4414486,1.3300624,5.5414667,-1.7009535,1.6310318,-0.026657537,2.5959632,0.98094517,0.82626605,-1.7987629,2.020205,0.35524747,4.4150248,1.7370691,5.7294846,1.2927182,3.8038926,angry,01,03-01-05-02-02-01-01.wav
-130.59521,35.236084,-36.82192,-6.330112,-21.716925,-15.551323,-29.438786,-17.35322,-26.524801,-17.757133,-4.730263,-14.806594,-11.337042,-7.315077,-8.55253,-2.3756955,-9.622657,4.350136,9.483538,4.2334905,1.78761,4.4783974,3.039428,3.8824651,2.441464,-1.6672996,-8.309958,-1.6928805,-1.6428394,-0.29116488,-3.8410757,-3.7456903,-1.7849488,0.92963946,-1.6330091,2.3184867,0.4949141,3.3218713,-2.3560119,-3.1157758,angry,01,03-01-05-02-02-02-01.wav
-397.3337,106.94453,-6.6770926,20.780313,11.11548,-8.503891,-8.869421,-16.440481,-27.97037,-4.510102,-11.366903,-6.738099,3.2521865,-14.728709,-4.195907,4.8743014,-14.835495,-7.3173904,-3.6793947,-5.5648994,-13.4246855,-2.285867,-7.637143,-8.672887,-4.5794606,-2.1588724,-9.355312,0.09824495,-10.134252,-2.8153472,-5.162516,-4.7014923,-6.6046906,-3.1128027,-8.633696,-4.171089,-1.9241607,-2.3327513,-2.1609955,1.2736049,fearful,01,03-01-06-01-01-01-01.wav
-407.80273,105.171585,-16.340195,17.790808,5.0726547,-11.662334,-16.397911,-23.217655,-33.953102,-10.631796,-9.012417,-13.167231,0.0088417325,-14.979229,-6.9239187,4.4139338,-17.35294,-9.685439,-6.1294694,-9.049097,-13.419174,-2.5966728,-9.966527,-11.62214,-7.0507894,-4.1895733,-12.605413,-2.1330123,-8.224143,-5.743728,-8.414726,-3.5628753,-5.801187,2.335548,-1.7803011,2.798836,2.140963,2.3530133,-3.4989114,1.1849066,fearful,01,03-01-06-01-01-02-01.wav
-408.97455,106.0168,-3.2879438,27.084805,11.068454,-2.0543315,-9.96326,-15.486442,-23.790667,-4.1558228,-5.009684,-4.9049563,0.8135109,-10.406463,-4.948985,2.9870687,-11.016431,-7.476293,-0.9814796,2.4838068,-15.291561,-4.14422,-5.9499135,-9.31517,-8.125787,-1.486284,-10.458116,-0.5768738,-6.5561085,-1.9907334,-4.265215,-2.8467937,-6.5435243,-4.349471,-8.081382,-3.7177439,-2.5790918,-3.5488915,-7.504087,-5.3851023,fearful,01,03-01-06-01-02-01-01.wav
-422.64148,98.91589,-11.127885,25.951342,8.959514,-4.0153184,-8.2288885,-19.210981,-22.972113,-6.8429585,-6.3813925,-4.7312346,-1.9516517,-10.934816,-2.4814227,-2.274339,-8.145976,-9.540235,-3.4966645,1.6982273,-15.825274,-1.4887801,-6.949985,-8.03483,-5.346053,-3.8678963,-11.877508,-1.6288136,-8.765675,-2.230178,-6.1198816,-1.6159704,-9.178188,-4.3845882,-9.095506,-3.3155982,-3.7255592,-5.6304116,-7.46415,-6.2443876,fearful,01,03-01-06-01-02-02-01.wav
-345.0933,51.86861,-15.553216,9.185859,-1.8154947,-0.9563364,-11.399233,-9.326872,-20.305746,-6.697175,-2.3262465,-6.7926908,-2.7352734,-6.725627,-6.4668245,5.507117,-6.932542,-9.347623,-5.110177,-4.078073,-11.729659,-1.5595094,-2.4635482,-1.6842637,-0.62237215,6.56453,-0.32527602,5.2518425,3.989042,1.425889,6.148119,6.145538,2.9476163,4.3947477,-1.8627149,1.8893677,3.3029525,4.420093,0.21579844,2.940882,fearful,01,03-01-06-02-01-01-01.wav
-293.9327,65.8766,-22.691011,-4.2599425,-0.5928063,-4.9888544,-18.164202,-19.906374,-26.954689,-15.356788,-10.145545,-15.2657385,-10.187557,-11.338646,-11.81839,1.4980298,-17.187428,-14.037409,-6.3379674,-6.5234437,-13.264606,-5.662004,2.1659472,5.458133,8.826824,15.215232,4.524617,7.7062016,4.185689,8.0517235,11.670069,7.186386,0.26700288,0.4741771,-3.0587351,3.6446395,4.03436,0.75205666,-4.935239,-2.0813332,fearful,01,03-01-06-02-01-02-01.wav
-210.72806,44.534557,-30.056522,-5.650354,-16.953163,-17.642574,-22.4207,-22.92304,-29.846981,-20.653826,-11.501693,-15.398191,-13.692592,-10.168735,-16.232653,-0.7971481,-20.559525,-10.74693,-5.7344046,-2.914489,-9.951946,-3.3725555,3.5193264,6.4853415,12.377126,23.944918,10.622244,11.0445175,1.2982548,-0.4179933,0.7674045,4.973339,5.090476,-0.67164004,-5.1156745,1.7378056,2.3494859,2.2530787,-3.725263,-2.51947,fearful,01,03-01-06-02-02-01-01.wav
-256.96396,58.978832,-26.073349,-0.39257285,-10.2685585,-8.704787,-22.281204,-16.63541,-27.669777,-22.338589,-1.8205546,-14.037786,-13.328523,-14.138369,-16.603039,-1.7003427,-20.016407,-13.323172,-5.609707,-10.930941,-14.338411,-5.650364,-0.670631,0.4719529,3.7985616,13.364206,6.16878,10.8632,8.194703,5.82464,5.4905195,4.019354,0.9853938,2.6527107,-1.8095489,6.32377,-0.71518,0.17548236,-4.562351,1.9213665,fearful,01,03-01-06-02-02-02-01.wav
-503.08264,101.99126,-0.73512363,20.527084,2.8296883,-1.9053272,-14.320485,-8.45063,-25.771168,-8.263875,-2.3030279,-15.06387,-1.7050706,-15.053372,-2.4420626,-5.088938,-15.433039,-7.2047453,-9.077197,-7.5589805,-14.06923,-0.04844838,-10.363876,-6.0890045,-5.712979,-4.137083,-7.9397273,-1.5586433,-5.80148,0.013708045,-3.2170908,2.0416346,-2.9021504,-0.49244675,-4.773763,-1.1413848,-4.095779,-1.1577933,-4.740785,-1.9596623,disgust,01,03-01-07-01-01-01-01.wav
-474.29337,86.94243,4.51913,7.4813566,3.3890998,-1.9563047,-16.069603,-8.942507,-24.175785,-8.493719,-1.2807221,-10.98655,-5.4343324,-10.45779,-3.2503986,-3.9656763,-12.651975,-5.633515,-4.3790255,-3.9237647,-11.016734,-0.19876601,-10.941222,-5.330841,-5.2153997,-4.022329,-9.374055,1.3388282,-4.0772104,1.4347874,-3.5842602,1.4656076,-3.7985103,-2.6342912,-2.58991,2.7528224,-1.324113,1.1841059,-2.2532482,-1.5408149,disgust,01,03-01-07-01-01-02-01.wav
-496.5208,102.41771,3.784051,26.527859,1.8454962,4.238382,-10.889485,-20.847235,-13.960965,-5.974355,-6.7398577,-7.3409367,-2.3762915,-9.602976,-2.3916445,0.029959133,-13.3698845,-3.684666,-3.5819948,-4.8458934,-14.579167,-1.1127851,-6.1579885,-7.659954,-7.5762706,-4.4349046,-8.285686,-3.700622,-5.4359365,-3.0856202,-7.1387496,-2.8570843,-7.940523,-3.48851,-8.82427,-2.6418874,-4.8809943,-6.0654545,-9.41091,-5.5420213,disgust,01,03-01-07-01-02-01-01.wav
-478.73157,101.02054,2.637252,23.611723,-3.6753824,5.4009094,-11.894928,-18.236164,-14.9705515,-6.0996985,-3.1949525,-9.280044,-2.4220233,-13.925874,-2.6245153,0.0019751675,-14.226543,-6.4178634,-2.3056002,-4.065487,-12.957314,-3.1689205,-7.4783373,-7.8120036,-8.946976,-2.8220942,-9.134827,-0.4139354,-3.722168,-4.3857684,-6.6395774,-3.1407254,-6.861116,-3.70624,-9.647912,-4.1851063,-4.029818,-1.6762271,-6.7602296,-3.3931692,disgust,01,03-01-07-01-02-02-01.wav
-374.5137,62.49513,-2.4536555,-9.66435,-13.821235,-3.0947816,-20.354433,-22.614449,-20.997614,-15.273051,-10.111358,-6.7857885,-12.15488,-9.580523,-8.109873,-11.873678,-13.000665,-6.183946,-14.082486,-7.4233418,-14.577219,-6.2646,-4.3764224,0.026071364,0.7549019,1.8296262,-0.95913,5.6033263,2.3647382,4.25905,2.9155748,6.0150533,-0.012439665,2.7872813,2.4424863,2.49898,-1.621156,0.41605455,-3.307763,-0.7748199,disgust,01,03-01-07-02-01-01-01.wav
