mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,mfcc_20,mfcc_21,mfcc_22,mfcc_23,mfcc_24,mfcc_25,mfcc_26,mfcc_27,mfcc_28,mfcc_29,mfcc_30,mfcc_31,mfcc_32,mfcc_33,mfcc_34,mfcc_35,mfcc_36,mfcc_37,mfcc_38,mfcc_39,mfcc_40,emotion,speaker,file
-195.2686,173.76384,-40.36852,13.884204,-12.745881,-15.936529,-25.05206,-18.970669,-21.441671,-10.625574,-9.781872,-15.839149,-13.474082,-18.26691,0.29655552,-10.422663,-14.886807,-3.1694834,-6.0964956,-6.9343843,-6.1194954,-3.8078313,-7.2998056,-8.58335,-10.489044,-9.67677,-6.7187257,-4.2405586,-3.4697766,-5.346387,-4.0154,-3.513251,-5.200711,-6.730309,-5.0373163,-4.924094,-2.6227388,-6.8794484,-4.39166,0.56024575,disgust,Daivik,Daivik_disgust_001.wav
-206.7192,178.72388,-38.31398,10.981661,-14.389439,-13.418361,-20.824896,-22.901287,-18.5985,-11.309014,-8.402798,-16.598507,-17.135492,-13.18268,-3.1819701,-8.733275,-12.636688,-6.0617642,-4.6011744,-10.184853,-7.2552376,-3.462638,-8.259924,-9.5640335,-9.972557,-9.475986,-8.065931,-3.417332,-2.4929595,-2.0809717,-3.5606313,-4.793967,-3.307104,-7.0483675,-4.3511953,-4.6552715,-3.8302817,-5.2701597,-5.5427265,-2.0673308,disgust,Daivik,Daivik_disgust_002.wav
-202.96187,171.16522,-33.149372,5.597149,-11.29287,-1.1010209,-30.703766,-20.339449,-24.071085,-12.547129,-6.8200035,-18.016043,-14.949695,-19.43863,2.5958424,-9.895237,-14.244432,-2.9165816,-7.4100885,-8.596421,-7.428808,-5.160069,-8.776526,-7.1218805,-11.833843,-7.429566,-6.2534013,-5.9890804,-0.2877814,-3.5837724,-3.9334993,-4.282278,-3.5954697,-5.8899813,-4.7779922,-5.368848,-4.000152,-5.5205846,-4.1861725,-1.8323439,disgust,Daivik,Daivik_disgust_003.wav
-223.73056,169.41422,-39.970463,22.940811,-4.734045,-15.597321,-30.969475,-18.620348,-10.851046,-16.705524,-10.884311,-18.096764,-16.806753,-17.26838,-1.7595606,-7.772236,-13.905567,-0.51491445,-7.271617,-11.650638,-8.611332,-5.1858897,-6.2696857,-10.026526,-13.04438,-9.757632,-4.5998893,-7.1143265,-1.9709792,-1.0381176,-5.215509,-3.6054482,-7.001472,-6.4134207,-3.5805025,-3.3720272,-3.5420527,-6.4873366,-3.4899044,0.30222073,disgust,Daivik,Daivik_disgust_004.wav
-185.28358,180.86261,-37.28156,19.959345,-10.673538,-14.016712,-29.362072,-17.731071,-18.615215,-18.585655,-6.424018,-19.066757,-16.663488,-11.629011,-1.4340984,-11.477212,-13.801902,-2.3741846,-5.6208763,-9.640135,-10.723103,-6.2520313,-6.3002934,-9.054596,-10.097819,-10.570385,-8.442178,-5.156384,-3.4810147,-5.186331,-4.6474366,-4.5220747,-7.909005,-6.163272,-5.282291,-5.015376,-3.7247329,-7.4052424,-4.0027122,-0.98918504,disgust,Daivik,Daivik_disgust_005.wav
-174.59183,185.3257,-40.0208,25.830666,-3.6672611,-12.1845045,-33.933468,-19.649342,-14.673646,-21.35772,-12.141248,-20.88952,-14.993108,-11.686478,-2.2642608,-10.334418,-14.231409,-4.0855803,-6.7475247,-11.276907,-10.218152,-5.2703886,-7.8594694,-8.130704,-9.84281,-9.233789,-6.991269,-6.953829,-2.4266427,-5.8610783,-6.90395,-5.227758,-8.652552,-5.5344157,-4.2764096,-3.847013,-2.1781497,-5.5893965,-4.098097,-2.1476276,fearful,Daivik,Daivik_fearful_001.wav
-212.55597,190.98187,-33.64654,17.554974,-8.3577795,-14.467791,-29.738434,-21.497671,-18.712015,-19.599756,-12.4033,-21.475616,-10.93535,-10.252036,-5.121438,-12.472173,-14.946734,-5.0917244,-8.601577,-11.869337,-11.392527,-3.5306695,-5.5315847,-7.343854,-8.541369,-9.082396,-6.6530724,-6.453131,-1.8007553,-5.1169543,-5.1680264,-4.5306344,-7.495336,-3.4145699,-4.8038964,-5.627479,-3.6720645,-6.3174815,-5.1472826,-1.9738095,fearful,Daivik,Daivik_fearful_002.wav
-170.35445,179.99953,-44.982765,22.685951,-14.516524,-14.382434,-29.924606,-20.930717,-10.763239,-11.363244,-10.086033,-22.277975,-14.053183,-13.143777,-2.0018585,-10.805303,-12.10925,-3.038649,-8.429001,-7.7794876,-7.835541,-4.3390946,-6.288088,-8.67299,-11.956696,-8.8010645,-7.185292,-6.232757,-1.0882196,-5.2153907,-4.6724544,-4.609245,-5.2030325,-4.665584,-3.7879474,-3.094353,-3.4917974,-3.5814579,-4.4215317,-0.802488,fearful,Daivik,Daivik_fearful_003.wav
-193.92749,182.19565,-43.163754,24.582537,-12.564957,-9.237786,-32.07626,-24.780802,-14.29645,-15.728982,-13.025082,-21.537184,-13.641275,-13.059026,-1.9090918,-10.509443,-11.462675,-2.9902449,-7.6891465,-8.387023,-7.6005282,-4.7642603,-7.228751,-5.7284546,-8.963603,-9.2573185,-6.1748915,-4.585608,-1.9065741,-6.046808,-6.6077247,-6.791626,-6.796812,-4.9951706,-5.467711,-3.7553945,-2.6079037,-4.6781645,-2.2798676,-0.33113518,fearful,Daivik,Daivik_fearful_004.wav
-187.48624,187.2465,-47.410797,22.297884,-12.697637,-8.569656,-30.279678,-23.518442,-12.2126875,-13.623793,-9.982946,-21.097353,-15.134978,-11.404023,-2.154263,-11.227421,-11.2638645,-4.292917,-7.765699,-8.082071,-7.688357,-7.0839024,-6.730868,-5.564043,-10.628115,-8.175748,-8.66106,-4.6096025,-0.5655949,-4.9224615,-3.6012392,-5.340151,-5.2165055,-4.6418376,-4.127556,-4.1282773,-3.9750597,-5.901505,-4.6025696,0.12174972,fearful,Daivik,Daivik_fearful_005.wav
-164.49576,185.24533,-53.323853,21.405375,-14.412553,-4.6658816,-32.79042,-21.960508,-14.387945,-15.909694,-11.027362,-22.46052,-9.830336,-13.387806,-4.035516,-11.986419,-11.416693,-2.9664025,-9.269669,-8.495383,-10.240376,-5.701194,-3.874249,-6.557682,-10.507946,-8.918263,-9.1058235,-5.0159664,-1.8972598,-3.935255,-3.169973,-6.4575896,-5.4908013,-4.802071,-3.0553496,-3.2225618,-3.448765,-3.275311,-4.5416694,-2.3575356,fearful,Daivik,Daivik_fearful_006.wav
-183.105,183.60075,-30.576702,13.086493,-7.3960037,-11.626595,-38.961964,-21.781866,-21.214056,-21.415045,-14.33537,-20.58385,-16.054167,-13.630482,-0.23421332,-12.155854,-12.886528,-4.4847016,-6.5347924,-10.933355,-10.853204,-3.689589,-6.898167,-8.36313,-10.344392,-7.287654,-5.8485975,-4.1255107,-2.63661,-7.1205926,-6.4031777,-6.5393105,-6.6957355,-5.951474,-4.4952607,-5.6101193,-5.7778296,-5.1714525,-2.5088413,-0.88661885,happy,Daivik,Daivik_happy_001.wav
-208.14853,174.82912,-24.05495,11.605493,-3.2960205,-12.520657,-35.400204,-19.484898,-22.622301,-21.142054,-14.27323,-21.068394,-12.911191,-11.261518,-1.7509037,-11.209917,-11.988935,-3.0001361,-7.9461164,-12.235696,-9.360364,-3.3634531,-7.2611027,-9.799793,-10.399451,-7.797379,-7.199503,-7.212139,-3.3437397,-5.2753143,-4.553576,-4.9801493,-6.770871,-3.707638,-4.242878,-5.1740837,-3.3045437,-4.1239395,-2.9496255,-2.5691338,happy,Daivik,Daivik_happy_002.wav
-188.45723,178.30197,-46.334538,21.289827,-8.921537,-11.123132,-30.162199,-20.393297,-13.229677,-16.64482,-12.544995,-19.031124,-16.317766,-12.7957,-0.9340167,-12.40909,-13.097493,-1.8892503,-4.8234324,-10.055095,-10.285901,-3.1747365,-7.751577,-8.199656,-9.934637,-8.297759,-6.5816402,-6.205725,0.88877445,-3.8733892,-3.9388974,-4.6851716,-6.4257245,-4.632988,-5.2873073,-3.5020294,-3.8597467,-6.142927,-4.7020698,-2.2538502,happy,Daivik,Daivik_happy_003.wav
-184.2723,178.86108,-37.306202,17.821682,-13.132831,-8.903212,-34.771103,-20.106525,-19.132158,-16.739353,-11.559493,-22.44721,-11.548423,-12.664914,-2.2389696,-10.772733,-11.254483,-2.568641,-6.506463,-11.500322,-10.309528,-3.0405414,-8.530103,-9.814073,-10.264247,-8.844421,-7.2907147,-6.374025,-3.669111,-5.2717915,-5.002861,-5.809198,-6.12665,-4.5546765,-4.2807293,-3.9783404,-1.896969,-4.5154104,-3.1854892,-0.3671354,happy,Daivik,Daivik_happy_004.wav
-201.69437,174.37637,-36.432487,13.834302,-7.4064956,-10.125138,-29.690159,-21.133907,-18.166496,-17.465754,-14.262672,-19.222652,-12.982765,-10.908098,-3.0187094,-10.474171,-12.830362,-1.6647917,-5.1518006,-11.148877,-6.8308163,-4.8565626,-7.680413,-8.867793,-10.882658,-7.7330046,-6.124208,-5.9894,-3.5406613,-3.836797,-5.5366797,-6.2808466,-4.6320167,-5.2803636,-5.4659944,-5.7557235,-3.6642256,-5.585788,-4.7276235,-2.4203615,happy,Daivik,Daivik_happy_005.wav
-190.8966,188.22455,-47.96172,17.865396,-11.17958,-16.02251,-28.605629,-20.40173,-21.836153,-17.455645,-4.5361423,-19.60853,-13.989574,-14.993861,-5.0904217,-8.077595,-14.100524,-7.318851,-9.013638,-8.227901,-11.156528,-5.7366714,-1.6015689,-9.322324,-11.459358,-6.7036843,-7.471124,-6.8810716,-3.211139,-5.1695147,-4.9752073,-3.046069,-5.0660686,-4.5251284,-4.9394174,-7.505146,-4.461431,-4.9176564,-5.620708,-1.5981661,neutral,Daivik,Daivik_neutral_001.wav
-199.1259,178.73328,-45.750828,19.103653,-6.556234,-15.271924,-29.279524,-21.073147,-18.810581,-15.455741,-7.019283,-18.353586,-10.273337,-11.284438,-4.0526047,-10.006808,-13.708244,-7.052779,-7.5040393,-9.095772,-13.392161,-1.3083607,-0.06632207,-8.4819355,-11.725661,-9.313816,-7.006173,-7.140934,-4.227471,-6.569102,-4.02348,-4.996287,-7.0494456,-5.4927893,-7.5942273,-7.9587674,-7.475694,-5.9207797,-7.3056483,-4.4505677,neutral,Daivik,Daivik_neutral_002.wav
-244.35172,176.86197,-43.58672,12.274347,-0.0031846708,-12.346445,-25.257967,-20.791365,-18.788994,-18.776754,-11.76617,-20.456347,-15.485246,-13.464252,-3.7671206,-10.707089,-12.3098135,-2.5288904,-8.972073,-7.397956,-8.800268,-3.7625427,-3.015998,-10.408796,-10.913576,-7.417541,-5.9053435,-8.374917,-4.1893177,-7.185922,-6.173017,-3.8295784,-8.231867,-4.077134,-4.5624413,-5.1050878,-3.7334874,-3.128368,0.04757723,1.4645079,neutral,Daivik,Daivik_neutral_003.wav
-231.40387,180.66124,-35.67097,17.83155,1.5415597,-19.133472,-28.268995,-16.48008,-21.932447,-18.233604,-11.612123,-22.737026,-13.765018,-13.731288,-4.687495,-8.877226,-11.7201185,-4.855807,-6.738541,-6.9924955,-11.247312,-4.9021206,-4.811797,-11.735682,-11.366094,-6.9985,-6.2976346,-5.528963,-1.315707,-4.260795,-3.4915802,-4.281149,-7.736228,-5.458546,-5.799167,-7.0971336,-6.6504073,-6.576466,-4.844844,-1.6549616,neutral,Daivik,Daivik_neutral_004.wav
-222.65623,185.5679,-38.87221,13.861289,-0.0512713,-16.923426,-26.092344,-23.698622,-22.84416,-19.098543,-13.179591,-20.209127,-14.139956,-15.209229,-4.4892197,-7.904847,-13.178903,-3.271057,-8.566827,-9.189188,-9.603086,-6.324879,-4.648368,-11.370844,-9.585005,-6.803859,-6.5971255,-4.303075,-3.1960907,-4.289762,-2.0908036,-3.0792024,-7.388504,-4.390088,-5.3956947,-7.9522543,-4.407064,-6.1622643,-4.351471,-0.5267568,neutral,Daivik,Daivik_neutral_005.wav
-171.40016,182.1215,-43.079315,20.440575,-6.8963566,-11.617163,-27.623148,-17.819021,-15.320479,-14.853649,-9.591459,-21.027336,-12.324288,-15.693171,-2.524649,-11.242325,-15.877961,-4.51142,-9.758497,-8.878694,-10.025572,-3.9150004,-8.158624,-10.775122,-10.195736,-8.673097,-5.7112775,-5.6298685,0.3527432,-6.7329626,-4.867657,-4.1367836,-6.398936,-2.416232,-6.095323,-2.8887231,-5.515448,-6.717525,-3.9096746,-3.5596426,sad,Daivik,Daivik_sad_001.wav
-186.91118,186.07422,-44.4227,19.491507,-7.4709067,-13.4451065,-31.120571,-17.033524,-18.022299,-16.532444,-11.467429,-21.788757,-11.1056,-14.586187,-0.49349302,-11.25025,-15.756613,-4.8534303,-9.609882,-11.295655,-10.417355,-1.2553631,-7.0109315,-9.13984,-10.802509,-9.71912,-5.7255225,-7.3879895,-2.0200846,-4.3563404,-4.6652517,-6.598356,-6.295971,-4.7827845,-8.40646,-5.6941557,-5.694432,-5.721342,-5.583242,-3.5358891,sad,Daivik,Daivik_sad_002.wav
-168.60542,185.69756,-41.982555,22.962645,-12.312899,-11.704985,-30.248194,-15.854549,-17.054943,-19.964022,-12.27095,-21.484024,-12.664542,-13.073992,-1.8215668,-12.729308,-14.729841,-4.625216,-8.764855,-10.388336,-10.086971,-3.5820484,-7.684452,-9.41047,-9.470265,-9.144694,-7.3892875,-6.8460145,-1.2437027,-5.5016003,-7.4483542,-4.9527564,-6.611212,-4.4837837,-5.303164,-4.1625085,-3.5075479,-6.5990252,-4.261364,-2.6515703,sad,Daivik,Daivik_sad_003.wav
-172.78241,189.30261,-38.682087,18.597914,-4.0799704,-16.2084,-32.35997,-20.013374,-18.01553,-20.235031,-12.306528,-19.497782,-12.895154,-12.724608,-3.601147,-11.127528,-15.169968,-4.185476,-7.5854173,-10.079166,-12.626212,-4.933904,-6.808985,-11.811918,-9.214276,-10.51969,-7.5483756,-6.8019867,-2.9283876,-5.9067636,-5.4101534,-3.3890343,-7.4738536,-2.9252768,-4.472322,-3.652606,-3.648032,-6.4353666,-3.7993596,-3.4141521,sad,Daivik,Daivik_sad_004.wav
-177.77266,188.75214,-38.137604,20.24223,-7.6776347,-14.299021,-30.66223,-18.833563,-17.77502,-16.742289,-13.3519125,-23.646744,-13.078385,-15.292952,-2.6761377,-13.203491,-15.875618,-3.803961,-10.362103,-9.973582,-9.973631,-3.7995682,-6.5602565,-8.229402,-8.364169,-9.423543,-4.986662,-5.903906,-1.2429664,-3.3977792,-7.7170215,-5.7807803,-6.8808117,-4.379883,-5.033617,-6.3277144,-3.9893422,-6.149598,-4.6590133,-2.1568992,sad,Daivik,Daivik_sad_005.wav
-191.15733,173.54837,-35.235527,24.070702,-6.71961,-16.24794,-28.957178,-19.50692,-23.565516,-8.9321785,-11.941259,-23.183449,-15.072185,-18.950447,2.5795674,-9.832347,-11.885962,-4.8865924,-9.017909,-10.736695,-10.466404,-1.039935,-11.40164,-10.431635,-11.35908,-11.698863,-7.957856,-6.967755,0.3084946,-4.8392797,-4.826132,-4.0519266,-5.6180716,-4.971326,-5.9493937,-5.636469,-5.053474,-5.746633,-4.3083453,-0.2701652,surprised,Daivik,Daivik_surprised_001.wav
-191.48616,177.82016,-41.08965,16.037262,-4.4351807,-19.322863,-24.571823,-19.173428,-16.768604,-14.403835,-9.790956,-17.61148,-19.555439,-13.0571995,-2.1566575,-10.341376,-11.694074,-6.648859,-8.6269045,-9.699695,-10.419204,-6.8067775,-7.4240184,-9.8995695,-10.978173,-10.311487,-8.409632,-4.232838,-2.6789205,-2.834486,-0.58749187,-4.2884865,-5.3221216,-3.42365,-3.494272,-3.3842363,-3.3170469,-4.707393,-2.9261055,-0.79764616,surprised,Daivik,Daivik_surprised_002.wav
-201.4192,184.4839,-48.48976,19.079832,-9.502457,-16.6901,-25.825693,-19.561192,-17.465672,-12.463935,-8.826623,-21.444126,-15.158874,-13.5202875,-0.8092593,-8.74515,-13.86383,-7.217121,-10.3287525,-8.006777,-7.0274143,-3.1626673,-7.0747614,-11.584957,-10.874767,-8.658807,-7.876187,-6.3829184,-3.3252306,-4.9753036,-4.9814563,-5.262888,-4.4473867,-3.724005,-4.7372174,-3.724966,-3.9415004,-6.1744423,-3.7359252,-0.4167541,surprised,Daivik,Daivik_surprised_003.wav
-183.38924,185.95479,-47.331112,19.506916,-9.073037,-17.809263,-26.563753,-19.51246,-16.100487,-12.929142,-9.988613,-18.534445,-15.718775,-12.95349,-1.6379063,-11.540659,-12.706407,-4.0056624,-5.740765,-9.253906,-9.238814,-2.515624,-6.354071,-10.174265,-12.494425,-8.718862,-5.880786,-5.618186,-2.364151,-5.1917434,-3.7985916,-5.64705,-7.3575907,-4.4834743,-4.594676,-4.607149,-4.5995655,-5.0147076,-3.05888,-1.2989955,surprised,Daivik,Daivik_surprised_004.wav
-223.224,157.48688,-31.47108,12.35927,5.0080357,-18.95582,-37.096577,-16.927322,-20.11448,-18.136408,-7.528299,-21.729616,-17.577034,-14.152629,-2.5522156,-6.703399,-13.218395,-4.512115,-6.0818014,-6.174517,-7.797398,-5.6981564,-6.0424676,-11.65978,-8.027382,-7.11086,-7.853254,-3.3143687,-0.9883962,-3.9709795,-4.474187,-3.2056906,-6.4322248,-4.8630323,-3.5527396,-4.2415767,-3.2382474,-2.9984877,-0.48317236,2.2006514,surprised,Daivik,Daivik_surprised_005.wav
-227.03972,180.24118,-30.049494,19.843666,20.028233,-15.168449,-25.51542,-14.971912,-8.728172,-15.646031,-13.307284,-16.081577,-15.74417,-8.501939,-13.062216,-13.701803,-7.893584,-9.757202,-12.850592,-7.9998517,-3.8325977,-9.4570675,-7.6610456,-3.7989733,-5.9424367,-7.7663493,-9.910131,-1.7858938,0.4243384,-4.8265944,0.25303826,1.0455589,-3.352869,-5.6784453,-4.3637133,0.64602965,0.09360593,-8.985434,-9.6562805,-1.058865,angry,Gauri,Gauri_angry_001.wav
-230.18283,170.35768,-19.979052,14.437248,19.090862,-14.956617,-30.649765,-16.171215,-6.7214146,-13.010074,-16.856524,-17.045534,-16.415865,-8.660388,-6.770993,-16.51356,-7.6259627,-4.753547,-10.932337,-7.9345956,-7.686853,-7.7919374,-7.0941515,-5.061081,-5.3570848,-8.569107,-7.4843836,-0.9532905,0.021683352,-4.2468715,0.40429592,3.0952435,-2.3569624,-3.3191516,-2.4076872,-1.0661113,-0.859968,-8.42559,-8.629917,-1.558133,angry,Gauri,Gauri_angry_002.wav
-219.91562,179.38155,-26.455694,19.66849,16.92529,-17.724968,-24.840492,-14.285454,-7.944004,-14.36661,-14.400553,-16.083574,-15.86743,-6.787221,-11.175646,-14.667807,-4.527189,-7.568557,-11.571863,-7.384264,-5.1243944,-6.597359,-7.095934,-6.5274076,-9.787182,-10.462425,-9.488464,-2.0464888,0.68163574,-3.196775,1.7246459,1.4827392,-1.1987119,-2.7634196,-4.3082156,0.6975254,-1.0689236,-9.128939,-6.7229633,-1.6108785,angry,Gauri,Gauri_angry_003.wav
-200.03065,179.33159,-34.99134,15.664529,-8.619556,-2.15743,-34.764545,-5.240269,-5.7037377,-22.79946,-10.55383,-19.776028,-14.520965,-1.2362378,-10.9038725,-20.962011,-5.582828,-9.191397,-8.595949,-4.8561716,-9.856908,-7.3888826,-8.957186,-7.184112,-8.231211,-4.5322456,-10.638006,-8.719693,-2.8159354,-4.8318257,6.098753,4.1480246,0.76491916,-2.743227,-3.6448946,-0.69706774,-0.2922873,-7.5467954,-7.224451,0.15459023,angry,Gauri,Gauri_angry_004.wav
-198.9079,176.9542,-32.753323,19.324572,-4.1404314,-9.159745,-32.19715,-6.455413,-8.704641,-18.6888,-6.6518326,-26.885084,-6.9632854,-8.012233,-16.817308,-11.0164795,-11.359152,-5.0699663,-12.628364,-7.8368587,-3.3145769,-10.5038,-9.572785,-9.529166,-8.307223,-6.9544573,-8.436268,-3.1815193,3.7062855,-0.5080894,-1.3419499,3.313373,-1.0419743,-3.4119003,-0.97876,-0.6812962,-3.5524886,-9.405751,-5.579735,-1.292195,angry,Gauri,Gauri_angry_005.wav
-193.94875,192.35165,-37.98202,26.595705,4.0288086,-6.5074377,-24.952219,-16.81246,-7.5980825,-12.689391,-13.552223,-16.761494,-11.734961,-14.673248,-7.021495,-11.311207,-9.771158,-8.425944,-13.135561,-7.657628,-6.492781,-5.140819,-8.470654,-5.1737747,-4.297925,-8.127862,-9.139237,-4.337161,-1.108473,-8.930069,-2.1210885,0.45033202,-1.7086835,0.17865545,-3.8499563,-0.00774109,-1.0321836,-8.746682,-7.841166,-0.13312703,calm,Gauri,Gauri_calm_001.wav
-187.81091,174.76108,-28.690413,22.48388,4.71973,-6.4806232,-32.02312,-14.007581,-8.611226,-17.16362,-16.281023,-15.936057,-11.400413,-10.619591,-6.3640857,-14.63976,-6.270474,-12.40375,-12.949441,-2.9557984,-8.631993,-3.6678874,-10.200476,-6.2209425,-5.147227,-11.858208,-8.001234,-4.2186074,-1.2015586,-8.007232,-3.942588,3.170884,1.762203,0.8950958,-4.258578,-2.170353,0.33330524,-10.919584,-7.053136,0.041052252,calm,Gauri,Gauri_calm_002.wav
-195.7334,186.36743,-32.139996,15.161044,0.7921032,-8.830863,-19.774736,-9.582838,-11.75797,-20.710127,-18.316368,-13.273874,-3.0501382,-10.828482,-9.79415,-18.48412,-13.313019,0.55718553,-9.612383,-5.7770305,-7.6837845,-12.331866,-3.8596659,-2.49212,-2.5379374,-8.678026,-15.472336,-8.041776,-3.5708754,-6.286878,-0.7831216,0.6761958,-1.7835878,-2.714379,-3.6066363,2.6965327,0.83634627,-7.4212914,-7.5270143,-3.9865763,calm,Gauri,Gauri_calm_003.wav
